9ビノキツネ 9Tail
ツチグモ Tschigmo
ティアマット Tiamat
ティホン Typhon
ディスクナイト DeathKnt
ディーバ Daeva
デッドロブスター Lobster
デュラハーン Dullahan
トレント Treant
トロール Troll
トール Thor
ドドンゴー Dodongo
ドリアード Dryad
ドリームキッス DreamKss
ドワーフ Dwarf
ドーン Dawon
ナアス Naiad
ナーガ Naga
ニケー Nike
ニトホッグ Nidhoggr
ヌエ Nue
ネコマタ Nekomata
ネビロス Nebiros
ノスフェラトゥ Nosfratu
ノーム Gnome
ハイウェイスター RoadStar
ハカイソウ Hakaisou
ハクマ・ブドー HakmButa
ハヌマーン Hanuman
ハンジャ Hanja
ハンババ Humbaba
ハーピー Harpy
バアル Baal
バエル Bael
バク Baku
バグ Bug
バグベア Bugbear
バシム Bathin
バジリスク Basilisk
バステト Bastet
バハラ Varaaha
バフォメット Baphomet
バラム Balaam
バレフール Valefar
バロン Barong
バンダー Bander
バンバイヤ Vampire
バンパイヤ Vampire
パイロン Pylon
パズス Pazusu
パビルサグ Pabilsag
パンクス Punks
ヒドラ Hydra
ビワほうし BiwaHosh
ビーメ HvyMetal
ピクシー Pixie
ピシャーチャ Pisaca
ピンクルーパー PinkLoop
ファフニール Fafnir
ファライ Faraii
ファラオ Pharaoh
ファンガス Fungus
ファントム Phantom
フェニックス Phoenix
フェンリル Fenrir
フォッグ Fog
フォルネウス Forneus
フォーモリア Fomoire
フライデイ Friday
フリアイ Furiae
フルカロス Focalor
フルーレティ Fleurety
フレイミスライム Flaemis
フーリー Fury
ブッカブー Buccaboo
ブラックナイト BlackKnt
ブラフマー Brahma
ブロブ Blob
プルシキ Purski
プーカ Pooka
ヘカーテ Hecate
ヘケット Heqet
ベヒモス Behemoth
ベヘモス Behemoth
ベリアル Belial
ベリス Berith
ベルゼブブ Belzebub
ベルフェゴール Belfegor
ペガサス Pegasus
ボディコニアン Bodycon
ボルボ Volvo
ボーグル Bogle
ボーンゴーレム BoneGlm
ポルターガイスト Poltrgst
マイコニドロ Myconid
マッドスラッグ MadSlug
マッドマン Madman
マンイーター Maneater
マンティコア Manticor
マンモン Mammon
ミイラ Mummy
ミカエル Michael
ミトラ Mithra
ミノタウロス Minotaur
ミュータント Mutant
メガプラナリア Planaria
メズキ Mezuki
メタル Metal
メデューサ Medusa
メデューサのかげ MeduShdw
メフィスト Mephisto
メロウ Merrow
モムノフ Momunofu
モルガン Morrigan
モロク Moloch
ヤシャ Yaksha
ヤタガラス Ytagaras
ユニコーン Unicorn
ヨモツシコメ Shikome
ラクシャーサ Rakshasa
ラクシュミ Lakshmi
ラクチャランゴ Rkchrngo
ラケー Lakhe
ラゴーン Lagoon
ラドン Ladon
ラファエル Raphael
ラフィン・スカル LaffSkul
ラミア Lamia
ラルウァイ Larvae
ラルン Rarung
ランダ Rangda
リッチ Lich
ルサールカ Rusalka
ルシファー Lucifer
レオナルド Leonard
レグバ Legba
レッドラム Redrum
レト Leto
レムリアン Lemurian
レムルース Lemuris
レヴィアサン Leviatan
ロア Loa
ロキ Loki
ワイアーム Wyrme
ワイト Wight
ワイバーン Wyvern
ワンドナイト WandKnt
ヴァルキリー Valkyrie
ヴィシュヌ Vishnu
ヴィー Viy
ヴェパール Vepar
ヴェータラ Vetala
ヴォラク Volak
ヴリトラ Vritra
