#GUN
ワルサーPPK         WaltPPK
ちんみディナー      Dainty
ちんみディナー      Dainty
スタミナていしょく  Stamina #meal
UMAディナー         Uma #dinner
ユーカリスト        HolyWine #eucharist, blessed bread and wine eaten for holy communion
ゴージャスセット    Gorgeous #set, meaning a meal, maybe?
さかさじゅうじ      Inverted #cross
しずたま            Silence #bullet?
しずたま            Silence
しずたま            Silence
しずたま            Silence
しずたま            Silence
しずたま            Silence
しずたま            Silence
しずたま            Silence
しずたま            Silence
しずたま            Silence
しずたま            Silence
しずたま            Silence
ほのおのわりふ      Flame #seal or talisman
みずのわりふ        Water
かぜのわりふ        Wind
つちのわりふ        Earth
バエルのつめ        Bael #claw or talon
たいようのピラー    Sun #pillar
つきのピラー        Moon
すいせいのピラー    Mercury
きんせいのピラー    Venus
かせいのピラー      Mars
もくせいのピラー    Jupiter
どせいのピラー      Saturn
あみだりき          Amitabha #'s strength?
なげきのたま        Grief #gem or maybe bullet
くるいのたま        Mania
いかりのたま        Wrath
まよいのたま        Doubt
おそれのたま        Fear
ださいのたま        Tacky
きぼうのたま        Hope
ソロモンのゆびわ    Solomon #ring
とうのカギ          Tower #key
みあらかのゆびわ    Palace #ring
みあらかのいし      Palace #stone
はんごんこう        Revivify #incense
しおみつだま        Flowing #gem, from the myth of yamasachi and umisachi
イザナミのころも    Izanami #clothes
メンバーズカード    Member #card
ヘイズルーン        Heidrun #is this just a goat head
マッカ              Macca
マグネタイト        MAG
あくま              Demon
カラ                Kara #dunno
ガルのたて          Garu
タバサのぞう        Tabasa #statue
おうしのキー        Taurus #key
しゅうゆうけん      Leisure #excursion ticket
ロルのまよけ        Loru #talisman
アレスのくびかざり  Ares #necklace
てんのまがたま      Heaven #magatama
リックのうでわ      Rick #bracelet
りゅうのヒゲ        Dragon #moustache?
かみなりおこし      Kaminari #famous crispy rice snack
ロンドンブーツ      London #boots
あらたま            Rough #gem/bullet
ラトスのぞう        Latose #statue
ぎんのレリーフ      Relief #made of silver
イザナミのころも    Izanami #clothes
プルシキのいななき  Purski #neigh
ルースのこびん      Loose #bottle
はくりゅうのたま    W.Dragon #gem
ふるたま            Ebbing #gem, from the myth of yamasachi and umisachi
ちいさなカギ        Small #key
きぬのいと          Silk #thread
みそうび            Nothing
みそうび            Nothing
みそうび            Nothing
みそうび            Nothing
みそうび            Nothing
みそうび            Nothing
みそうび            Nothing
みそうび            Nothing
みそうび            Nothing
みそうび            Nothing
#SWORD
むめいのカタナ      Nameless
プラチナのたんけん  Platinum
めいとうこてつ      Famous
みずかがみのけん    Reflect
きくいちもんじ      Kikuichi #famous set of swords
らんぶのつるぎ      Dancing
ソウルオブナイト    Chivalry
オリハルコンのけん  Orialcon
しゅのつるぎ        Lord
ペルセウスのけん    Perseus
オーラのつるぎ      Aura
ヒノカグツチのけん  Kagutuchi #hinokagutsuchi
#KNIFE
ジャックナイフ      Jack
たんけん            Dagger
#FLAIL
ヌンチャク          Nunchaku
さそりムチ          Scorpion
モーニングスター    Morning
#SICKLE
くさりがま          Chain
ほのおのじって      Flame
しにがみのかま      Death
#ARMOR
くさりかたびら      Chain
ブレストプレート    Plate
かっちゅう          Kachu #samurai armor plus helm
オリハルコンメイル  Orialcon
オーラのよろい      Aura
きりのよろい        Mist #according to some blog
#SUIT
コンバットスーツ    Combat
ファイバースーツ    Fiber
#SHIELD
かしのたて          Oak
こうてつのたて      Steel
セラミクスのたて    Ceramic
プラチナのたて      Platinum
オリハルコンのたて  Orialcon
オーラのたて        Aura
ししのたて          Lion
#HELM
ヘルメット          Helmet
ケブラーヘルメット  Kevlar
まよけのかぶと      Ward
オーラのかぶと      Aura
#CAP
エンジェルリング    Halo
#CROWN
ダフネのかんむり    Daphne
#MASK
やしゃのめん        Yaksha #buddhist demon warrior
